Timestamp,Prediction,Confidence,Medicine,Symptoms,Image
2025-06-26 13:41:31,New Castle Disease,99.62,"Supportive therapy, multivitamins, and control of secondary infections","Twisting of neck, difficulty breathing, drop in egg production, greenish diarrhea.",static/uploads\test1.jpeg
2025-06-26 13:44:37,New Castle Disease,99.62,"Supportive therapy, multivitamins, and control of secondary infections","Twisting of neck, difficulty breathing, drop in egg production, greenish diarrhea.",static/uploads\test1.jpeg
2025-06-26 13:50:43,New Castle Disease,99.62,"Supportive therapy, multivitamins, and control of secondary infections","Twisting of neck, difficulty breathing, drop in egg production, greenish diarrhea.",static/uploads\test1.jpeg
2025-06-26 13:51:46,New Castle Disease,99.62,"Supportive therapy, multivitamins, and control of secondary infections","Twisting of neck, difficulty breathing, drop in egg production, greenish diarrhea.",static/uploads\test1.jpeg
2025-06-26 13:55:23,New Castle Disease,99.62,"Supportive therapy, multivitamins, and control of secondary infections","Twisting of neck, difficulty breathing, drop in egg production, greenish diarrhea.",static/uploads\test1.jpeg
2025-06-26 14:20:52,New Castle Disease,99.62,"Supportive therapy, multivitamins, and control of secondary infections","Twisting of neck, difficulty breathing, drop in egg production, greenish diarrhea.",static/uploads\test1.jpeg
2025-06-26 14:38:02,New Castle Disease,99.62,"Supportive therapy, multivitamins, and control of secondary infections","Twisting of neck, difficulty breathing, drop in egg production, greenish diarrhea.",static/uploads\test1.jpeg
2025-06-26 14:42:42,New Castle Disease,99.62,"Supportive therapy, multivitamins, and control of secondary infections","Twisting of neck, difficulty breathing, drop in egg production, greenish diarrhea.",static/uploads\test1.jpeg
2025-06-26 14:45:01,New Castle Disease,99.62,"Supportive therapy, multivitamins, and control of secondary infections","Twisting of neck, difficulty breathing, drop in egg production, greenish diarrhea.",static/uploads\test1.jpeg
2025-06-26 14:45:44,New Castle Disease,99.62,"Supportive therapy, multivitamins, and control of secondary infections","Twisting of neck, difficulty breathing, drop in egg production, greenish diarrhea.",static/uploads\test1.jpeg
2025-06-26 15:09:29,New Castle Disease,99.62,"Supportive therapy, multivitamins, and control of secondary infections","Twisting of neck, difficulty breathing, drop in egg production, greenish diarrhea.",static/uploads\test1.jpeg
2025-06-26 15:09:42,New Castle Disease,99.62,"Supportive therapy, multivitamins, and control of secondary infections","Twisting of neck, difficulty breathing, drop in egg production, greenish diarrhea.",static/uploads\test1.jpeg
2025-06-26 15:11:11,New Castle Disease,99.62,"Supportive therapy, multivitamins, and control of secondary infections","Twisting of neck, difficulty breathing, drop in egg production, greenish diarrhea.",static/uploads\test1.jpeg
